ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"27.66.100.236","elite","AS7552","VN","Viettel Group","339","VIETTEL","1080","socks4","1","71","160","224","2025-06-06T08:03:35.349Z","4703"
"64.202.184.129","elite","AS398101","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","10270","socks4","1","100","3118","3129","2025-06-06T08:03:35.356Z","4711"
"103.36.35.251","elite","AS131111","ID","PT Mora Telematika Indonesia","167","PT Tunas Sukses Mandiri","5678","socks4","1","100","1398","1403","2025-06-06T08:03:35.360Z","3593"
"201.184.75.212","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","175","UNE EPM TELECOMUNICACIONES S.A","4145","socks4","1","99","3162","3187","2025-06-06T08:03:35.354Z","1294"
"192.111.138.29","elite","N/A","US","Total Server Solutions L.L.C.","139","N/A","4145","socks4","6596","96","340","353","2025-06-06T08:03:35.364Z","128"
"66.29.138.180","elite","AS22612","US","Namecheap, Inc.","148","Namecheap, Inc.","61222","socks4","1","99","193","194","2025-06-06T08:03:35.357Z","4101"
"126.153.202.179","elite","AS17676","JP","SoftBank Corp.","273","SOFTBANK Corp","3128","socks4","1","85","2625","3102","2025-06-06T08:03:35.359Z","4134"
"213.165.185.211","elite","AS12709","MT","Melita Cable plc","65","Melita plc","4153","socks4","1","97","3092","3191","2025-06-06T08:03:35.352Z","3479"
"50.235.117.234","elite","AS7922","US","Comcast Cable Communications, LLC","93","Comcast Cable Communications, LLC","39593","socks4","1","100","3211","3212","2025-06-06T08:03:35.355Z","3390"
"177.74.200.69","elite","AS271888","AR","Servicios Convergentes Del Oeste S.R.L.","246","N/A","5678","socks4","1","98","3092","3163","2025-06-06T08:03:35.358Z","106"
"171.247.99.235","elite","AS7552","VN","Viettel Corporation","333","VIETEL","1080","socks4","1","68","2081","3052","2025-06-06T08:03:35.353Z","4982"
"146.19.106.183","elite","AS53363","CA","Tangram Canada Inc.","91","Stark Industries Solutions LTD","5429","socks4","1","96","2743","2865","2025-06-06T08:03:35.347Z","1621"
"103.79.96.193","elite","AS64308","ID","PT IndoDev Niaga Internet","190","PT IndoDev Niaga Internet","4153","socks4","1","99","9830","9893","2025-06-06T08:03:25.029Z","2506"
"195.154.43.198","elite","AS12876","FR","Online S.A.S.","7","ONLINE","59216","socks4","1","72","2224","3077","2025-06-06T08:03:25.138Z","3901"
"125.46.179.58","elite","AS4837","CN","CNC Group CHINA169 Henan Province Network","182","N/A","44844","socks5","1","56","5593","9905","2025-06-06T08:03:25.031Z","4899"
"65.21.89.117","elite","AS24940","FI","Hetzner Online GmbH","32","Hetzner","42631","socks4","1","68","1654","2424","2025-06-06T08:03:25.139Z","4330"
"103.199.158.97","elite","AS134318","IN","city broadband network pvt.ltd","275","N/A","41610","socks4","65","100","9813","9859","2025-06-06T08:03:25.038Z","2386"
"78.131.11.73","elite","AS20845","HU","DIGI","23","N/A","8080","socks4","1","99","178","179","2025-06-06T08:03:25.039Z","3305"
"185.32.4.110","elite","AS60645","PL","AS Consulting Sp. z o. o.","71","Core Network Fiber","4153","socks4","1","87","2800","3226","2025-06-06T08:03:25.039Z","4604"
"175.100.88.83","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","273","Viettel (cambodia) Pte., Ltd.","33427","socks4","1","98","958","975","2025-06-06T08:03:25.029Z","3696"
"185.93.89.157","elite","AS213790","GB","Limited Network LTD","63","Limited Network LTD","10606","socks4","1","98","246","252","2025-06-06T08:03:25.139Z","2897"
"194.163.176.66","elite","AS51167","DE","Contabo GmbH","8","Contabo GmbH","63468","socks4","1","100","902","904","2025-06-06T08:03:25.140Z","477"
"172.67.181.11","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","socks4","1","100","9792","9793","2025-06-06T08:03:25.038Z","3596"
"109.195.187.178","elite","AS52207","RU","CJSC \"ER-Telecom Holding\" Tula branch","48","JSC \"ER-Telecom Holding\" Tula Branch","9150","socks5","1","99","9762","9883","2025-06-06T08:03:24.955Z","4925"
"172.67.254.246","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","socks4","1","100","1995","1996","2025-06-06T08:03:24.960Z","4895"
"124.156.157.218","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","307","N/A","13220","socks5","1","100","9895","9925","2025-06-06T08:03:24.961Z","2886"
"213.233.161.245","elite","AS12660","IR","Sharif University Of Technology","77","SHARIF-EDU","4153","socks4","1","99","3130","3158","2025-06-06T08:03:24.961Z","4193"
"93.171.243.253","elite","AS8870","UA","tom nets","33","Campus City Ltd","1080","socks4","1","100","3208","3208","2025-06-06T08:03:24.956Z","3395"
"203.150.132.42","elite","AS45752","TH","Internet Thailand Company Ltd","201","INEXT Broadband Company Limited","14153","socks4","1","98","9737","9929","2025-06-06T08:03:24.953Z","4606"
"193.200.151.69","elite","AS42905","UA","LIMANET Ltd","87","ISP LIMANET","32777","socks4","1","78","2502","3219","2025-06-06T08:03:24.956Z","621"
"172.67.181.103","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks5","1","100","9842","9844","2025-06-06T08:03:24.954Z","5016"
"180.180.216.90","elite","AS23969","TH","TOT Public Company Limited","203","TOT Public Company Limited","5678","socks4","1","97","2983","3074","2025-06-06T08:03:24.964Z","3973"
"14.225.3.194","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","221","VNPT","3128","socks4","1","99","614","620","2025-06-06T08:03:24.960Z","4974"
"104.16.12.26","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","8443","socks4","1","100","518","518","2025-06-06T08:03:24.966Z","2536"
"202.58.199.229","elite","AS45701","ID","Internet Madju Abad Millenindo, PT","202","Globalxtreme DPS","5678","socks4","1","92","2964","3211","2025-06-06T08:03:24.963Z","3905"
"195.225.49.135","elite","AS51357","UA","INETIN","40","Freenet Ltd.","55774","socks4","1","99","9771","9835","2025-06-06T08:03:24.953Z","4112"
"103.94.133.92","elite","AS136128","ID","PT CITRA AKSES INDONUSA","175","PT CITRA AKSES INDONUSA","4153","socks4","1","99","9873","10005","2025-06-06T08:03:24.966Z","4190"
"49.0.2.243","elite","AS55701","ID","PT Usaha Adi Sanggoro","166","N/A","5430","socks4","1","96","3074","3207","2025-06-06T08:03:24.965Z","2200"
"147.161.128.127","elite","AS22616","BR","ZSCALER, INC.","203","Zscaler Sao4","11194","socks4","1","94","1789","1900","2025-06-06T08:03:18.436Z","3901"
"94.130.179.24","elite","AS24940","DE","Hetzner Online GmbH","10","Hetzner","8040","socks4","1","97","9581","9843","2025-06-06T08:03:18.457Z","4613"
"8.210.206.107","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","312","Alibaba.com Singapore E-Commerce Private Limited","59394","socks4","1","92","9031","9864","2025-06-06T08:03:18.435Z","2011"
"216.73.159.18","elite","AS61138","CL","Zappie Host LLC","220","Zappie Host - Valdivia, Chile","13201","socks4","1","97","9611","9950","2025-06-06T08:03:18.436Z","5066"
"23.227.143.106","elite","AS55081","US","24 SHELLS","81","24 SHELLS","10026","socks4","1","100","2444","2450","2025-06-06T08:03:18.459Z","4385"
"51.68.21.244","elite","AS16276","FR","OVH SAS","20","OVH","5000","socks5","1","50","4911","9767","2025-06-06T08:03:18.434Z","5078"
"143.110.240.94","elite","AS14061","IN","DigitalOcean, LLC","161","DigitalOcean, LLC","18093","socks4","1","99","9881","9950","2025-06-06T08:03:18.432Z","561"
"181.205.161.189","transparent","AS27831","CO","Colombia Móvil","150","Colombia Móvil","999","http","9428","100","8","8","2025-06-06T08:03:18.438Z","251"
"182.253.109.111","elite","AS17451","ID","Biznet Metronet","179","N/A","8080","socks4","76","100","228","229","2025-06-06T08:03:18.439Z","4595"
"202.52.141.134","elite","AS46061","ID","PT. Adi Inti Mandiri","167","N/A","1234","socks4","1","98","1187","1206","2025-06-06T08:03:18.430Z","2985"
"116.202.235.157","elite","AS24940","DE","Hetzner Online GmbH","11","Hetzner Online GmbH","63135","socks5","1","100","3191","3191","2025-06-06T08:03:03.028Z","4874"
"162.243.55.12","elite","AS14061","US","DigitalOcean, LLC","92","Digital Ocean","59179","socks4","1","100","3202","3202","2025-06-06T08:03:03.030Z","4307"
"54.36.183.52","elite","AS16276","FR","OVH SAS","21","OVH","9173","socks5","1","94","9180","9772","2025-06-06T08:03:03.028Z","4601"
"217.182.183.154","elite","AS16276","FR","OVH SAS","19","OVH","7497","socks5","1","100","9915","9921","2025-06-06T08:03:03.029Z","2497"
"93.170.123.5","elite","AS212913","UA","FOP Hornostay Mykhaylo Ivanovych","46","FOP Hornostay Mykhaylo Ivanovych","1080","socks4","1","95","2523","2652","2025-06-06T08:03:03.029Z","4986"
"185.202.7.180","elite","AS197999","AT","Michael Gamsjaeger Network","36","N/A","4153","socks4","1","99","1811","1833","2025-06-06T08:03:02.945Z","3499"
"43.134.225.110","elite","AS132203","SG","Aceville Pte.ltd","235","N/A","443","socks4","1","100","303","304","2025-06-06T08:03:02.938Z","4183"
"118.96.94.40","elite","AS7713","ID","PT. TELKOM INDONESIA","251","N/A","80","socks4","1","79","7833","9923","2025-06-06T08:03:02.934Z","4993"
"103.79.152.202","elite","AS131111","ID","MORATELINDO","168","Moratelindo","5678","socks4","1","91","8947","9802","2025-06-06T08:03:02.946Z","4102"
"43.130.62.247","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","12740","socks4","1","100","895","897","2025-06-06T08:03:02.933Z","4572"
"93.188.161.84","elite","AS47583","US","HOSTINGER US","101","Hostinger International Ltd.","80","socks4","1","100","1817","1817","2025-06-06T08:03:02.936Z","3210"
"46.158.49.49","elite","AS12389","RU","OJSC Rostelecom Macroregional Branch South","79","OJSC Rostelecom Macroregional Branch South","7788","socks5","1","60","1797","3010","2025-06-06T08:03:02.937Z","4207"
"154.29.227.162","elite","AS134450","IN","HostRoyale Technologies Pvt Ltd","139","N/A","8081","socks4","72","86","8396","9762","2025-06-06T08:03:02.933Z","3511"
"184.178.172.14","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications Inc.","4145","socks4","1","100","89","89","2025-06-06T08:03:02.935Z","345"
"178.128.21.246","elite","AS14061","SG","DigitalOcean, LLC","186","Digitalocean","56108","socks4","1","93","9130","9826","2025-06-06T08:03:02.946Z","3704"
"110.78.186.220","elite","AS131090","TH","CAT-BB","198","N/A","4145","socks4","1","67","6521","9805","2025-06-06T08:03:02.931Z","5070"
"185.220.226.235","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","86","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","1","90","8842","9810","2025-06-06T08:03:02.948Z","2900"
"172.105.201.56","elite","AS63949","JP","Akamai Technologies","246","Linode","9050","socks4","1","99","3103","3130","2025-06-06T08:03:02.934Z","4923"
"162.254.38.202","elite","AS22612","US","Namecheap, Inc.","152","Namecheap, Inc.","40547","socks4","1","98","3169","3223","2025-06-06T08:03:02.928Z","3188"
"94.130.171.189","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","10004","socks5","1","90","8797","9779","2025-06-06T08:03:02.944Z","4702"
"156.228.124.57","elite","AS200373","US","3xK Tech GmbH","89","3xK Tech GmbH","3128","socks4","1","100","981","981","2025-06-06T08:03:02.945Z","4890"
"95.68.225.138","elite","AS12389","RU","Ulyanovsk Branch of OJSC VolgaTelecom","59","N/A","1080","socks5","1","79","7855","9948","2025-06-06T08:03:02.928Z","3584"
"38.65.172.4","transparent","N/A","MX","Guillermo Robles Ramirez","140","N/A","999","http","9188","98","88","90","2025-06-06T08:03:02.939Z","364"
"104.24.136.68","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks5","1","100","9739","9739","2025-06-06T08:03:02.935Z","4087"
"23.82.137.161","elite","AS393886","US","Leaseweb USA, Inc.","113","Leaseweb USA, Inc","80","http","9090","100","16","16","2025-06-06T08:03:02.944Z","107"
"98.181.137.80","elite","AS22773","US","Cox Communications Inc.","168","Cox Communications Inc.","4145","socks4","1","43","337","784","2025-06-06T08:03:02.930Z","61"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","103","Zscaler, Inc.","10297","socks5","1","90","8947","9921","2025-06-06T08:03:02.938Z","4423"
"103.224.54.233","elite","AS134922","IN","R TECHNOLOGIES","155","Renu Softtech Sales and Services","31433","socks4","1","99","3063","3101","2025-06-06T08:02:53.441Z","4713"
"199.229.254.129","elite","AS46562","US","Performive LLC","137","Performive LLC","4145","socks4","1","99","147","148","2025-06-06T08:02:53.461Z","33"
"182.253.34.174","elite","AS17451","ID","BIZNET","173","N/A","3128","socks4","1","45","4429","9938","2025-06-06T08:02:53.457Z","4792"
"181.13.217.208","elite","AS271984","AR","Agencia Conectividad Cordoba Sociedad Del Estado","290","Sistesat S.R.L","4153","socks4","1","100","3172","3179","2025-06-06T08:02:53.531Z","4690"
"123.233.120.26","elite","AS4837","CN","CHINA UNICOM China169 Backbone","169","JN jndyjcxlyxgs","1080","socks5","1","99","3041","3058","2025-06-06T08:02:53.528Z","3900"
"121.13.252.60","elite","AS4134","CN","Chinanet","249","Chinanet GD","61401","socks4","1","91","8915","9817","2025-06-06T08:02:53.453Z","4585"
"1.179.151.165","elite","AS131293","TH","TOT Public Company Limited","183","TOT Public Company Limited","31948","socks4","1","91","2202","2419","2025-06-06T08:02:53.532Z","4908"
"144.91.107.252","elite","AS51167","FR","Contabo GmbH","6","Contabo GmbH","18940","socks4","1","99","9733","9852","2025-06-06T08:02:53.636Z","399"
"51.210.180.105","elite","AS16276","FR","OVH SAS","19","OVH","6239","socks4","1","100","2534","2538","2025-06-06T08:02:53.445Z","2775"
